City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
224,Suntar,RU,62.1444,117.6319,13.77,85,99,8.05,overcast clouds
225,Stepnogorsk,KZ,52.3544,71.8869,31.08,91,100,12.37,overcast clouds
226,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.09,78,20,8.5,few clouds
227,Iguape,BR,-24.7081,-47.5553,73.85,75,18,13.42,few clouds
228,Beloha,MG,-25.1667,45.05,74.52,76,0,3.13,clear sky
229,Flin Flon,CA,54.7682,-101.865,4.23,78,12,5.99,few clouds
230,Palmer,US,42.1584,-72.3287,41.72,62,94,4.54,overcast clouds
231,Kutum,SD,14.2,24.6667,69.84,24,0,8.52,clear sky
232,Catalao,BR,-18.1658,-47.9464,76.03,64,90,7.2,overcast clouds
233,Tasiilaq,GL,65.6145,-37.6368,28.56,91,100,35.25,snow
234,Dicabisagan,PH,17.0818,122.4157,71.6,84,100,9.95,overcast clouds
235,Port Elizabeth,ZA,-33.918,25.5701,62.1,94,90,9.22,light intensity drizzle
236,Lokosovo,RU,61.1333,74.8167,6.51,96,100,5.35,light snow
237,Verkhoyansk,RU,67.5447,133.385,-27.42,96,100,1.77,overcast clouds
238,Nueve De Julio,AR,-35.4444,-60.8831,61.92,90,100,8.43,overcast clouds
239,Bud,US,39.447,-86.1758,50.7,52,100,7.47,overcast clouds
240,Longyearbyen,SJ,78.2186,15.6401,19.24,73,75,24.16,light snow
241,Preston,GB,53.7667,-2.7167,46.38,77,100,5.99,overcast clouds
242,Capela Do Alto,BR,-23.4706,-47.7347,72.34,69,20,17.18,few clouds
243,Naze,JP,28.3667,129.4833,57.25,65,99,10.07,overcast clouds
244,Ihosy,MG,-22.4,46.1167,70.39,88,2,3.83,clear sky
245,Muzhi,RU,65.3667,64.6667,-22.54,99,100,0.69,overcast clouds
246,Nogliki,RU,51.8333,143.1667,-5.28,96,43,9.19,scattered clouds
247,Mangai,CD,-4.05,19.5333,71.15,99,100,1.3,overcast clouds
248,Fairview,US,40.8126,-73.999,47.98,59,77,4.0,broken clouds
249,Albury,AU,-36.0833,146.9167,63.01,74,22,8.05,few clouds
250,Wilkie,CA,52.4168,-108.7014,15.89,86,100,3.29,overcast clouds
251,Porlamar,VE,10.958,-63.8491,87.89,66,66,16.11,broken clouds
252,Williamsburg,US,37.2707,-76.7075,60.64,72,1,3.0,clear sky
253,Cayenne,GF,4.9333,-52.3333,77.09,91,90,3.0,overcast clouds
254,Hrodna,BY,53.6884,23.8258,29.32,91,86,6.62,overcast clouds
255,Sisimiut,GL,66.9395,-53.6735,35.38,80,100,11.36,overcast clouds
256,San Quintin,MX,30.4833,-115.95,64.38,73,3,18.81,clear sky
257,Fairbanks,US,64.8378,-147.7164,-22.02,80,7,0.47,clear sky
258,Blackwater,AU,-23.5833,148.8833,77.67,67,0,6.6,clear sky
259,Cidreira,BR,-30.1811,-50.2056,70.68,78,100,18.95,overcast clouds
260,Miri,MY,4.4148,114.0089,75.33,90,80,3.6,broken clouds
261,Nanakuli,US,21.3906,-158.1547,76.71,70,75,0.0,light rain
262,Victoria,HK,22.2855,114.1577,65.32,65,98,1.99,overcast clouds
263,Itaberaba,BR,-12.5275,-40.3069,74.03,77,72,1.66,broken clouds
264,Arona,ES,28.0996,-16.681,63.39,54,20,1.99,few clouds
265,Dikson,RU,73.5069,80.5464,-22.63,100,100,8.21,overcast clouds
266,Namwala,ZM,-15.7504,26.4384,77.0,30,50,4.41,scattered clouds
267,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,51,40,17.0,scattered clouds
268,Kachiry,KZ,53.0675,76.1036,30.43,92,100,9.1,overcast clouds
269,Bandarbeyla,SO,9.4942,50.8122,76.53,67,27,17.83,scattered clouds
270,Ayan,RU,56.45,138.1667,5.94,67,100,4.68,overcast clouds
271,Naryan-Mar,RU,67.6713,53.087,5.22,96,99,10.07,overcast clouds
272,Lleida,ES,41.6167,0.6167,57.69,72,0,4.0,clear sky
273,Harper,LR,4.375,-7.7169,80.02,81,6,9.22,clear sky
274,Emure,NG,7.4361,5.4593,77.23,32,91,1.99,overcast clouds
275,Kapit,MY,2.0167,112.9333,73.11,100,72,0.51,broken clouds
276,Iranshahr,IR,27.2025,60.6848,59.56,43,0,0.36,clear sky
277,Gashua,NG,12.871,11.0482,75.31,21,4,10.04,clear sky
278,Baraki Barak,AF,33.9675,68.9486,39.25,43,45,1.68,scattered clouds
279,Puerto Ayora,EC,-0.7393,-90.3518,75.16,83,71,8.41,broken clouds
280,Butaritari,KI,3.0707,172.7902,83.05,77,13,18.54,few clouds
281,Rorvik,NO,64.8621,11.2373,25.59,69,8,35.99,clear sky
282,Talara,PE,-4.5772,-81.2719,74.16,68,0,17.27,clear sky
283,Jalu,LY,29.0331,21.5482,56.37,44,0,14.16,clear sky
284,Saint-Augustin,CA,51.226,-58.6502,21.43,55,35,18.66,scattered clouds
285,Vao,NC,-22.6667,167.4833,76.32,84,75,16.69,broken clouds
286,Touros,BR,-5.1989,-35.4608,83.3,77,81,13.8,broken clouds
287,Mayahi,NE,13.9553,7.6712,73.85,15,58,11.27,broken clouds
288,Comodoro Rivadavia,AR,-45.8667,-67.5,71.46,28,0,18.41,clear sky
289,Okhotsk,RU,59.3833,143.3,-23.13,90,59,12.1,broken clouds
290,Rundu,NA,-17.9333,19.7667,70.79,78,99,7.45,light rain
291,Doha,QA,25.2867,51.5333,66.18,72,0,9.22,clear sky
292,Sao Desiderio,BR,-12.3633,-44.9733,71.33,93,100,5.32,overcast clouds
293,Tessalit,ML,20.1986,1.0114,68.4,17,56,10.33,broken clouds
294,Sitka,US,57.0531,-135.33,28.29,80,40,5.75,scattered clouds
295,Sorong,ID,-0.8833,131.25,80.04,81,67,5.75,broken clouds
296,Nautla,MX,20.2167,-96.7833,77.85,74,18,6.13,few clouds
297,Airai,TL,-8.9266,125.4092,61.18,95,100,0.65,overcast clouds
298,Grand Gaube,MU,-20.0064,57.6608,78.39,71,61,1.99,broken clouds
299,Pecos,US,31.4229,-103.4932,69.06,32,1,5.75,clear sky
300,Erzin,TR,36.9559,36.2,52.32,51,87,8.46,overcast clouds
301,Moyale,KE,3.5167,39.0584,67.28,71,13,6.42,few clouds
302,Anadyr,RU,64.75,177.4833,-2.0,58,100,11.01,overcast clouds
303,Progreso,MX,21.2833,-89.6667,86.11,63,44,13.65,scattered clouds
